trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
132,0,132,0,186.1930755000003,187.19344230000024,187.19344230000024,down,1,0.07812699999976758,None,1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
133,0,133,0,187.29350109999996,188.29389720000017,188.29389720000017,down,1,0.05068799999980911,None,2,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
134,0,134,0,188.37725210000008,189.37757469999997,189.37757469999997,down,0,0.06506559999934325,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
135,0,135,0,189.46108430000004,190.4614220000003,190.4614220000003,down,1,0.05239449999999124,None,3,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
136,0,136,0,190.54477459999998,191.5451653,191.5451653,down,0,0.0694816999998693,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
137,0,137,0,191.6452072000002,192.64556200000015,192.64556200000015,down,0,0.1487647999992987,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
138,0,138,0,192.81230730000016,193.81261470000027,193.81261470000027,down,0,0.11813949999941542,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
139,0,139,0,193.96268529999998,194.96310059999996,194.96310059999996,down,1,0.12754169999971054,None,-2,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
140,0,140,0,195.11313400000017,196.11351390000027,196.11351390000027,down,0,0.23881699999992634,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
141,0,141,0,196.38037050000003,197.38064480000003,197.38064480000003,up,1,0.7799448999999186,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
142,0,142,0,198.18096980000018,199.18139550000024,199.18139550000024,down,0,0.7405519999997523,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
143,0,143,0,199.94829500000014,200.9486982000003,200.9486982000003,up,1,0.2679448999997476,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
